Link;KvK/ID;Vestnr;RSIN;Vennootschapsnaam;Rechtsvorm;Hoofd/Neven;Status;SBI Hoofdact;Omschrijving (hoofdact);SBI Nevenact1;Omschrijving (nevenact1);SBI Nevenact2;Omschrijving (nevenact2);Non-Mailing;Straatnaam;Huisnr;Toevoeging huisnr;Postcode;Woonplaats;Straatnaam CA;Huisnr CA;Toevoeg huisnr CA;Postcode CA;Woonplaats CA;Gemeente;Provincie;Landcode;Tel. Netnr.;Tel. Abnnr.;Domeinnaam;Functie;Voorletters;Voorvoegsels;Achternaam;Sexe;Mobiel Nr.;Employees;Werknemers;Econ. Actief;Import;Export;Aantal Dochters;Datum Inschrijving;Datum akte oprichting;Datum opheffing;Datum oprichting;Datum voortzetting;Huidig adres;Dep. jaarstuk;Soort jaarstuk;Auditor;YearTPE;Turnover (€);Profit (€);Total assets (€);Stock exchange;Banks;Ultimate (Dutch) Parent
Stg. Penta, St. RK, Prot. Chr. Onderwijs;412343750001;000000034800;003008782;Stichting Penta, Stichting (Rooms)-Katholiek, Protestants Christelijk en Interconfessioneel Onderwijs Hoorn;Stichting;H;Ingeschreven;85201;Basisonderwijs voor leerplichtigen;;;;;;Maelsonstraat;28;;1624NP;HOORN;Maelsonstraat;28;;1624NP;HOORN;Hoorn;Noord-Holland;NL;0229;219171;www.stichtingpenta.nl;Bestuurder;N.J.M.;van der;Gulik;M;;199;;0;N;N;;7/26/10;10/2/69;;10/2/69;;5/3/13;;;DRV;2013;16.716.338;890.163;6.573.554;;;
Playa Cana B.V.;342796120000;000017725801;818297141;Playa Cana B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Prins Bernhardplein;200;;1097JB;AMSTERDAM;Prins Bernhardplein;200;;1097JB;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5214777;;Bestuurder;B.D.;;Wardinski;M;;695;;0;N;N;;7/31/07;7/30/07;;7/30/07;;;2012;Vastgesteld jaarstuk;Deloitte;2012;16.704.715;-2.509.044;50.834.688;;;
A3 Leisure Group B.V.;564289600000;000025983563;852120680;A3 Leisure Group B.V.;B.V.;H;Ingeschreven;70102;Holdings (geen financiële);;;;;;Singaporestraat;82;;1175RA;LIJNDEN;Singaporestraat;82;;1175RA;LIJNDEN;Haarlemmermeer;Noord-Holland;NL;020;6724438;;Bestuurder;S.M.;van der;Heijden;M;;195;;0;N;N;;11/8/12;11/7/12;;11/7/12;;1/11/13;2012;Vastgesteld jaarstuk;;2012;16.688.110;2.401.217;27.222.127;;;
Stg. Kenteq, Ber.ond. Bedr.leven voor Techn.;410360510000;;801972644;Stichting Kenteq, kenniscentrum beroepsonderwijs bedrijfsleven voor techniek;Stichting;;Ingeschreven;85592;Bedrijfsopleiding en -training;;;;;Geactiveerd;Olympia;6;A;1213NP;HILVERSUM;Postbus;81;;1200AB;HILVERSUM;Hilversum;Noord-Holland;NL;;;;;;;;;;112;100-199;1;;;;;6/8/93;;6/8/93;;;;;;2013;16.683.232;-21.908.016;47.588.857;;ABN AMRO;
Stichting Kenteq;405307500000;;002565195;Stichting Kenteq;Stichting;;Ingeschreven;9411;Bedrijfs- en werkgeversorganisaties;;;;;Geactiveerd;Olympia;6;A;1213NP;HILVERSUM;Postbus;81;;1200AB;HILVERSUM;Hilversum;Noord-Holland;NL;;;www.kenteq.nl;;;;;;;205;;0;;;1;4/3/78;6/30/80;;7/7/16;;;2013;Vastgesteld jaarstuk;N.N.;2013;16.683.000;-21.908.000;;;ABN AMRO, ING Bank;
Globaldrive Germany Retail VFN 2011 B.V.;538530590000;000023701099;851044578;Globaldrive Germany Retail VFN 2011 B.V.;B.V.;H;Ingeschreven;64301;Beleggingsinstell. in financiële activa;;;;;Geactiveerd;De entree;99;-197;1101HE;AMSTERDAM;Postbus;12797;;1100AT;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5554466;;;;;;;;;;0;N;N;;10/31/11;10/28/11;;10/28/11;;12/5/11;2013;Vastgesteld jaarstuk;PwC;2013;16.680.202;2.015;270.284.814;;;Stichting Globaldrive Germany Retail VFN 2011
Deltronics (Netherlands) B.V.;120408310000;000016606124;808573986;Deltronics (Netherlands) B.V.;B.V.;H;Ingeschreven;2611;Verv. elektronische componenten;;;;;;Zandsteen;15;;2132MZ;HOOFDDORP;Zandsteen;15;;2132MZ;HOOFDDORP;Haarlemmermeer;Noord-Holland;NL;020;6550900;;Bestuurder;J.;;Chang;M;;46;20-49;1;N;N;;10/2/03;2/22/00;;2/22/00;;9/1/07;2012;Voorlopig jaarstuk;;2011;16.662.640;447.421;4.513.825;;ABN AMRO;
Ipsen Farmaceutica B.V.;332213550000;000017356466;008838483;Ipsen Farmaceutica B.V.;B.V.;H;Ingeschreven;72193;Speur-/ontw.werk ohgv gezondh./voeding;46461;Groothandel in farmaceutische producten;7490;Overige special. zakelijke dienstverl.;;Taurusavenue;33;B;2132LS;HOOFDDORP;Taurusavenue;33;B;2132LS;HOOFDDORP;Haarlemmermeer;Noord-Holland;NL;023;5541600;;Bestuurder;A.M.;de;Waal;V;;20;10-19;1;J;J;;7/10/90;12/15/87;;12/15/87;;5/1/07;2013;Vastgesteld jaarstuk;KPMG;2013;16.622.148;22.595.273;65.867.649;;ABN AMRO;
HHR Amsterdam B.V.;342993790000;000016267702;819398846;HHR Amsterdam B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;55101;Hotel-restaurants;;;;Nieuwezijds Voorburgwal;5;;1012RC;AMSTERDAM;Prins Bernhardplein;200;;1097JB;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5214777;www.newdorrius.nl;Bestuurder;L.F.M.;;Heine;V;;;;0;N;N;;4/10/08;4/10/08;;4/10/08;;8/27/08;2013;Vastgesteld jaarstuk;KPMG;2013;16.604.000;-2.080.000;84.791.000;;;HHR Euro Coöperatief UA
Stichting Vrijwaard;371368870000;000022069135;818638588;Stichting 'Vrijwaard';Stichting;H;Ingeschreven;88999;Overig maatsch.adv./gemeenschapshuizen;88101;Thuiszorg;;;;Timorlaan;139;;1782DR;DEN HELDER;Timorlaan;139;;1782DR;DEN HELDER;Den Helder;Noord-Holland;NL;0223;680824;www.vrijwaard.nl;Bestuurder;C.;;Veenstra;M;;253;;1;N;N;;2/22/11;10/31/07;;10/31/07;;;;;Deloitte;2013;16.596.550;68.499;5.123.993;;;
Kadant Johnson Europe B.V.;320183960000;000016112520;001133184;Kadant Johnson Europe B.V.;B.V.;H;Ingeschreven;2895;Verv. machines productie papier/karton;;;;;;Nijverheidslaan;21;25;1382LG;WEESP;Postbus;68;;1380AB;WEESP;Weesp;Noord-Holland;NL;0294;494200;;Bestuurder;F.H.;;Westerhout;M;;57;50-99;1;N;J;;10/29/57;10/7/57;;10/7/57;12/1/72;;2013;Vastgesteld jaarstuk;E&Y;2013;16.530.000;9.619.000;75.858.000;;ABN AMRO, ING Bank;
Reg. Ontw.mij. v.h. Noordzeekanaalgebied N.V.;271777780000;000008749639;807676111;Regionale Ontwikkelingsmaatschappij voor het Noordzeekanaalgebied N.V.;N.V.;H;Ingeschreven;64923;Participatiemaatschappijen;;;;;;De Ruijterkade;7;;1013AA;AMSTERDAM;De Ruijterkade;7;;1013AA;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5234920;www.nzkg.nl;Bestuurder;J.R.;;Schnieders;M;;3;2-4;1;N;N;11;4/28/99;1/29/99;;1/29/99;;6/1/02;2012;Vastgesteld jaarstuk;KPMG;2012;16.521.000;1.525.000;97.155.000;;ABN AMRO;
Dorint Hotels International B.V.;342624300000;000016224264;817384832;Dorint Hotels International B.V.;B.V.;H;Ingeschreven;55101;Hotel-restaurants;;;;;;Sloterweg;299;;1171VB;BADHOEVEDORP;Sloterweg;299;;1171VB;BADHOEVEDORP;Haarlemmermeer;Noord-Holland;NL;020;6588111;;Bestuurder;G.;;Riepe;M;;110;;1;N;N;;12/27/06;2/1/07;;2/1/07;2/1/07;10/23/14;2010;Vastgesteld jaarstuk;HLB Schippers;2010;16.515.202;-1.763.668;2.291.437;;;
SpePharm Holding B.V.;321173180000;000010623981;817091786;SpePharm Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Kingsfordweg;151;;1043GR;AMSTERDAM;Postbus;57674;;1040BN;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;4919602;;Bestuurder;J.F.M.G.;;Labbé;M;;50;;0;;;2;11/23/06;9/14/06;;9/14/06;9/14/06;11/20/06;2012;Vastgesteld jaarstuk;BDO;2012;16.509.236;19.041.402;16.228.635;;;
Adriana Infrastructure CLO 2008-I B.V.;342929020000;000018404758;818956021;Adriana Infrastructure CLO 2008-I B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Prins Bernhardplein;200;;1097JB;AMSTERDAM;Postbus;990;;1000AZ;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5214777;;;;;;;;;;0;N;N;;1/24/08;1/24/08;;1/24/08;;12/9/13;2013;Vastgesteld jaarstuk;PwC;2012;16.490.384;12.000;780.380.479;;;Sticht. Infrastructure CLO Holding anno 2008
